Date	Title	Description	Code 1	Code 2
2024-10-14T15:28:19Z	‘Something very wrong’ with Kamala Harris – Trump	The Republican candidate has called on his Democratic rival to pass a “cognitive stamina and agility” test Read Full Article at RT.com		
2024-10-31T21:13:34Z	Trump sues CBS over Kamala Harris interview	"Republican presidential candidate Donald Trump sued CBS on Thursday over an interview of his Democratic rival Kamala Harris aired in early October that the lawsuit alleged was ""doctored"" and misleading, according to a court filing.
The filing was made in the …"		
2024-10-17T20:22:10Z	[Removed]	[Removed]		
2024-10-26T12:57:19Z	Kamala Harris Tears Into Trump For Calling The U.S. A 'Garbage Can'	"On Friday in Houston, Texas, Vice President Kamala Harris tore into Donald Trump's description of the United States, claiming this country is ""like a garbage can for the world."" We've never seen a former president who loathes this country as Trump does before…"		
2024-10-20T08:03:00Z	5 cartoon critiques of the Kamala Harris media blitz	Artists take on 60 surrealist minutes, word salad, and more		
2024-10-19T00:39:56Z	Trump Slams Kamala Harris Over Claims He's 'Exhausted': 'She Didn't' Come to Al Smith Dinner	"Former President Donald Trump responded to claims that he was ""exhausted"" and canceling events, pointing out that Vice President Kamala Harris ""didn't"" attend the Al Smith dinner on Thursday night.
The post Trump Slams Kamala Harris Over Claims He’s ‘Exhauste…"		
2024-11-02T21:48:21Z	Exclusive -- Doug Burgum: 'No One Believes' Kamala Harris 'Changed' Views on Fracking	"North Dakota Governor Doug Burgum (R) spoke to Breitbart News Saturday about how ""no one believes that"" Vice President Kamala Harris has ""changed her position"" on fracking.
The post Exclusive — Doug Burgum: ‘No One Believes’ Kamala Harris ‘Changed’ Views on F…"		
2024-10-14T14:54:32Z	What To Know About Kamala Harris’ Economic Agenda As She Announces New Proposals For Black Men	The vice president rolled out new economic proposals aimed at Black men as she courts their vote.		
2024-10-23T04:00:00Z	At Detroit Rally for Kamala Harris, Eminem Endorses and Obama Raps	Voter turnout in Detroit, a longtime Democratic stronghold, will be crucial in determining who wins Michigan, a crucial swing state, in November.		
2024-10-13T17:52:57Z	Donald Trump Calls Kamala Harris the R-Word at Dinner with Billionaire Donors: Report	The former president reportedly lashed out about donors not appreciating him at the dinner, according to 'The New York Times'		
2024-11-01T20:12:38Z	Carrie Mae Weems Kitchen Table Photos Star in Kamala Harris Ad	The iconic images from Weems’s 1990 series appear in a recent video advertisement airing in key battleground states.		
2024-10-15T00:00:00Z	Meghan McCain threatens to spill “tea” on Kamala Harris, but nobody is thirsty…	McCain had a hissy fit after Kamala Harris said nice things about her late father.		
2024-11-02T16:00:09Z	Exclusive -- JD Vance Closing Argument: 'Kamala Harris Broke It; Donald Trump Will Fix It'	"Vice President Kamala Harris broke it, and former President Donald Trump will fix it, Sen. JD Vance (R-OH) said during an appearance on Breitbart News Saturday, laying out the closing argument for the campaign just days ahead of the election.
The post Exclusi…"		
2024-10-14T15:00:11Z	[Removed]	[Removed]		
2024-11-03T01:12:45Z	Kamala Harris expected to appear on SNL, say U.S. media reports	U.S. Vice-President Kamala Harris has made an unannounced trip to New York to appear on Saturday Night Live, briefly stepping away from the battleground states where she's been campaigning with just three days to go before the election.		
2024-10-14T21:40:57Z	I'm a lifelong Wisconsin conservative. Here's why I just endorsed Kamala Harris.	I'm a Wisconsin Republicans. Here's why I'm voting for Kamala Harris over Donald Trump — and why Mike Pence and Mitt Romney could learn from Liz Cheney.		
2024-10-11T17:18:44Z	Donald Trump, Kamala Harris locked in close election race: WSJ poll	Wall Street Journal survey suggests Trump and Harris neck-to-neck in six key swing states before the November 5 vote.		
2024-10-16T23:05:24Z	Kamala Harris Attempts to Reach Black Male Voters: First VP to 'Grow Chili Peppers''	"Vice President Kamala Harris attempted to reach black male voters by revealing to them that she was the ""first vice president"" to ""grow chili peppers"" at the vice president's residence.
The post Kamala Harris Attempts to Reach Black Male Voters: First VP to ‘…"		
2024-10-30T16:43:23Z	Ray Dalio doesn't like the choice between Kamala Harris and Donald Trump	Bridgewater Associates founder Ray Dalio isn’t too thrilled about the prospect of either a Kamala Harris or (second) Donald Trump administration.Read more...		
2024-10-30T00:21:46Z	Kamala Harris Draws Sharp Contrast With Donald Trump In Closing Argument Speech: “We Are Not A Vessel For The Schemes Of Wannabe Dictators”	Kamala Harris drew a sharp contrast with Donald Trump as she made her closing argument with the backdrop of the White House, telling a massive crowd at the Ellipse that the election is a choice between a hopeful future and chaos and division. “These United St…		
2024-10-13T23:19:55Z	The Day Kamala Harris Was Interviewed By The King Of All Media	"Donald Trump tore into Howard Stern, whom he called a “beta male” on Wednesday after an interview the host conducted with Vice President Harris. Via The Hill:
“BETA MALE Howard Stern made a fool of himself on his low rated radio show when he ‘interviewed’ Lyi…"		
2024-10-30T11:07:01Z	The business leaders that Kamala Harris could recruit for her Cabinet	While Mark Cuban and Uber's Tony West may be out of contention, Harris has many powerful ties in the business world.		
2024-10-15T22:45:22Z	Donald Trump and Kamala Harris Keep Making Economically Illiterate Promises	Former President Donald Trump and Vice President Kamala Harris keep making new promises. Trump fans applauded when he said he'll eliminate taxes on tips.		
2024-11-02T04:44:40Z	Cardi B Speaks at Wisconsin Kamala Harris Rally, Gives Donald Trump New Nickname	Cardi B hit the stage at a rally in support of Kamala Harris at Wisconsin State Fair Park Exposition Center on Friday night (November 1) in West Allis, Wisc. The 32-year-old rapper showed her support at the campaign stop and spoke in support of the Vice Presi…		
2024-10-21T21:23:10Z	Overnight Cable News Ratings for Oct. 15-17: Kamala Harris Interview With Bret Baier Boosts Fox News	Tuesday, Oct. 15 Fox News' The Five won in total viewers at 5 p.m. ET (all times Eastern), while Gutfeld! led in the Adults 25-54 demo. CNN's The Source with Kaitlan Collins was the network's top show in the demo and the network's third most-watched program i…		
2024-10-31T19:47:10Z	Kamala Harris Would Be Least Popular Democrat to Win Election in 64 Years	The vice president has also the highest unfavorable view by an opposing party.		
2024-10-28T16:46:13Z	Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Bloomberg Reportedly Gives Another $50 Million To Help Harris (Updated)	Michael Bloomberg's reported commitment to Democrats is up to almost $100 million this cycle.		
2024-10-25T18:00:00Z	What Black male voters should consider about Kamala Harris	Vice President Kamala Harris' campaign presents a unique opportunity for Black male voters to finally be heard		
2024-10-25T07:32:17Z	[Removed]	[Removed]		
2024-10-18T20:10:10Z	Kamala Harris Suddenly Pauses Rally to Call for Medic to Help Supporter	"Vice President Kamala Harris stopped her first rally of the day in Michigan on Friday for a medical emergency.
The Democratic nominee was in Grand Rapids Friday afternoon, where she was addressing union voters in the automotive industry. But she had to pause …"		
2024-10-23T12:00:00Z	Bill Gates dropped a cool $50 million backing Kamala Harris	Bill Gates has quietly donated about $50 million to a group working to elect Vice President Kamala Harris in next month’s presidential election, according to a new report.Read more...		
2024-10-24T14:34:36Z	Beyoncé Will Appear At Kamala Harris Rally Tomorrow, Report Says	Beyoncé’s song “Freedom” has served as Vice President Kamala Harris’ campaign anthem since she announced her candidacy this summer.		
2024-10-13T06:00:00Z	Kamala Harris openly bragged about using the DoJ to fight against speech the government doesnât agree with	Social media censorship has been pretty rampant under the Biden administration, but it could get a lot worse if Kamala Harris takes office. In fact, she has been bragging about using the Department of Justice to counter so-called misinformation for several ye…		
2024-10-12T14:13:03Z	‘Frankly Sir—‘ Trump-Leaning Voter Gets Earful From Kamala Harris About Trump At Town Hall	"Vice President Kamala Harris went on a tirade against Trump when a Trump-leaning voter asked her to explain ""how you got this candidacy?""
The post ‘Frankly Sir—‘ Trump-Leaning Voter Gets Earful From Kamala Harris About Trump At Town Hall first appeared on Med…"		
2024-10-26T06:57:04Z	[Removed]	[Removed]		
2024-10-28T00:30:23Z	Bad Bunny Backs Kamala Harris, Shares Video Of Her Talking About Her Plans For Puerto Rico	Bad Bunny, the Puerto Rican recording artist, is supporting Kamala Harris in the 2024 presidential election, as he shared a video of her plans for the U.S. territory. Benito Antonio Martínez Ocasio’s endorsement came as Donald Trump held a rally at Madison Sq…		
2024-10-12T16:46:51Z	Allergies Defeated, Presidency Next? Kamala Harris’ Health Report is In	"MOSCOW (Sputnik) - US Vice President and Democratic presidential nominee Kamala Harris is in ""excellent"" health, her physician, Joshua Simmons, said in a medical summary published by the White House on Saturday, just weeks before the election."		
2024-10-23T21:25:51Z	[Removed]	[Removed]		
2024-11-03T14:10:02Z	Kamala Harris makes surprise appearance on Saturday Night Live	A Republican member of the media regulatory agency said the appearance broke rules around equal time for candidates.		
2024-10-22T14:22:51Z	Kamala Harris Gets Bad News From Georgia's Black Voters	Kamala Harris' support from Black voters in Georgia is substantially less than Joe Biden's in 2020, according to a new poll.		
2024-10-22T16:31:19Z	Bruce Springsteen to Play Kamala Harris Rallies in Atlanta and Philadelphia	"Springsteen endorsed Kamala Harris for president earlier this month.
Bruce Springsteen to Play Kamala Harris Rallies in Atlanta and Philadelphia
Paolo Ragusa"		
2024-10-13T03:56:59Z	‘Saturday Night Live’ Cold Open Pits Donald Trump Against Kamala Harris In A Game Of ‘Family Feud’	Saturday Night Live mocked Donald Trump’s refusal to do another debate and instead had him face off with Kamala Harris in Family Feud. With Kenan Thompson as emcee Steve Harvey, the cold open brought back the election season regulars: Maya Rudolph as Harris, …		
2024-10-14T18:47:02Z	This Week On The Campaign Trail: Kamala Harris And Donald Trump Do Separate Fox News Appearances	Each cycle, presidential campaigns grapple with the diffusion of the media audience, evident this year as Kamala Harris and Donald Trump try to reach undecided voters on traditional news outlets, podcasts and late night television. That will be the case in th…		
2024-11-01T21:27:24Z	New York’s Top Chef Wants to Invite Kamala Harris to Dinner	The famed New York chef and owner of Tatiana in Lincoln Center talks about his dream people to cook for and his dinner-party rules.		
